task,feature_set,n_features,model,accuracy,precision,recall,f1,auc,ap
binary,all_f_classif_k64,64,gbdt_tuned,0.847926267281106,0.8729281767955801,0.9404761904761905,0.9054441260744985,0.8935860058309039,0.9610641744394418
binary,all_f_classif_k64,64,xgboost_tuned,0.8709677419354839,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9005102040816326,0.9625641114136821
binary,all_f_classif_k128,128,svm_rbf_tuned,0.8663594470046083,0.8839779005524862,0.9523809523809523,0.9169054441260746,0.8951652089407192,0.957750029070465
binary,all_f_classif_k128,128,rf_tuned,0.8709677419354839,0.8763440860215054,0.9702380952380952,0.9209039548022598,0.9084669582118562,0.9690892663860526
binary,all_f_classif_k128,128,gbdt_tuned,0.8709677419354839,0.8932584269662921,0.9464285714285714,0.9190751445086706,0.902575315840622,0.9619348350052445
binary,all_f_classif_k128,128,xgboost_tuned,0.8940092165898618,0.9096045197740112,0.9583333333333334,0.9333333333333333,0.9001457725947521,0.960009446979298
binary,all_f_classif_k256,256,svm_rbf_tuned,0.8709677419354839,0.8804347826086957,0.9642857142857143,0.9204545454545454,0.9019679300291544,0.9645409309473542
binary,all_f_classif_k256,256,rf_tuned,0.8663594470046083,0.8716577540106952,0.9702380952380952,0.9183098591549296,0.9003279883381924,0.9651967194422418
binary,all_f_classif_k256,256,gbdt_tuned,0.8571428571428571,0.8624338624338624,0.9702380952380952,0.9131652661064426,0.9000242954324587,0.962293308243335
binary,all_f_classif_k256,256,xgboost_tuned,0.8847926267281107,0.8994413407821229,0.9583333333333334,0.9279538904899135,0.8961370262390671,0.9609234301910883
binary,all_f_classif_k512,512,svm_rbf_tuned,0.8755760368663594,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.9059766763848396,0.9659384543972789
binary,all_f_classif_k512,512,rf_tuned,0.8617511520737328,0.8631578947368421,0.9761904761904762,0.9162011173184358,0.9005102040816326,0.9637369880591293
binary,all_f_classif_k512,512,gbdt_tuned,0.8617511520737328,0.8670212765957447,0.9702380952380952,0.9157303370786517,0.9090136054421769,0.9665587010697569
binary,all_f_classif_k512,512,xgboost_tuned,0.8894009216589862,0.9,0.9642857142857143,0.9310344827586207,0.8988095238095237,0.9613444127038092
binary,all_mutual_info_k64,64,svm_rbf_tuned,0.8525345622119815,0.8953488372093024,0.9166666666666666,0.9058823529411765,0.8492468415937804,0.9372741117825955
binary,all_mutual_info_k64,64,rf_tuned,0.8617511520737328,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9062196307094266,0.9684338717441872
binary,all_mutual_info_k64,64,gbdt_tuned,0.8433179723502304,0.8722222222222222,0.9345238095238095,0.9022988505747126,0.8946793002915451,0.955756467624644
binary,all_mutual_info_k64,64,xgboost_tuned,0.8617511520737328,0.8920454545454546,0.9345238095238095,0.9127906976744186,0.886661807580175,0.9513112108468993
binary,all_mutual_info_k128,128,svm_rbf_tuned,0.8617511520737328,0.8833333333333333,0.9464285714285714,0.9137931034482759,0.885689990281827,0.9567759961428575
binary,all_mutual_info_k128,128,rf_tuned,0.8709677419354839,0.8804347826086957,0.9642857142857143,0.9204545454545454,0.9030612244897959,0.9674549670156083
binary,all_mutual_info_k128,128,gbdt_tuned,0.8709677419354839,0.8932584269662921,0.9464285714285714,0.9190751445086706,0.8996598639455783,0.9591449755196096
binary,all_mutual_info_k128,128,xgboost_tuned,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.8928571428571428,0.953744268063404
binary,all_mutual_info_k256,256,svm_rbf_tuned,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.8912779397473275,0.9555552949212485
binary,all_mutual_info_k256,256,rf_tuned,0.8663594470046083,0.8716577540106952,0.9702380952380952,0.9183098591549296,0.905430029154519,0.967483838182925
binary,all_mutual_info_k256,256,gbdt_tuned,0.847926267281106,0.8648648648648649,0.9523809523809523,0.9065155807365439,0.886418853255588,0.955089321827608
binary,all_mutual_info_k256,256,xgboost_tuned,0.8986175115207373,0.9147727272727273,0.9583333333333334,0.936046511627907,0.8950437317784257,0.9478784984465378
binary,all_mutual_info_k512,512,svm_rbf_tuned,0.8847926267281107,0.8950276243093923,0.9642857142857143,0.9283667621776505,0.8910349854227405,0.95269025254812
binary,all_mutual_info_k512,512,rf_tuned,0.8755760368663594,0.8770053475935828,0.9761904761904762,0.923943661971831,0.9115038872691934,0.9686716473401871
binary,all_mutual_info_k512,512,gbdt_tuned,0.8571428571428571,0.8702702702702703,0.9583333333333334,0.9121813031161473,0.8920068027210885,0.9502946766964671
binary,all_mutual_info_k512,512,xgboost_tuned,0.8894009216589862,0.9044943820224719,0.9583333333333334,0.930635838150289,0.8905490767735667,0.9525242810482811
