task,candidate,feature_set,selector,n_features,svm_weight,xgb_weight,accuracy,macro_f1,weighted_f1
level,stat_color_edge_grid_f_classif_k256_svm0.50_xgb0.50,stat_color_edge_grid,f_classif_k256,256,0.5,0.5,0.7511520737327189,0.7203238496960322,0.7476501486945912
level,stat_color_edge_grid_f_classif_k256_svm0.60_xgb0.40,stat_color_edge_grid,f_classif_k256,256,0.6,0.4,0.7511520737327189,0.7267477355726308,0.7500252985867912
level,stat_color_edge_grid_f_classif_k256_svm0.75_xgb0.25,stat_color_edge_grid,f_classif_k256,256,0.75,0.25,0.7511520737327189,0.7254802562517351,0.7510341947520954
level,stat_color_edge_line_grid_raw_svm0.25_xgb0.75,stat_color_edge_line_grid,raw,338,0.25,0.75,0.7465437788018433,0.713888832996586,0.7419094229071823
level,stat_color_edge_line_grid_raw_svm0.40_xgb0.60,stat_color_edge_line_grid,raw,338,0.4,0.6,0.7603686635944701,0.7300713281093028,0.7567709713530165
level,stat_color_edge_line_grid_raw_svm0.50_xgb0.50,stat_color_edge_line_grid,raw,338,0.5,0.5,0.7603686635944701,0.7325633995058172,0.7583327722019482
level,stat_color_edge_line_grid_raw_svm0.60_xgb0.40,stat_color_edge_line_grid,raw,338,0.6,0.4,0.7557603686635944,0.7267705463728191,0.7538130043628577
level,stat_color_edge_line_grid_raw_svm0.75_xgb0.25,stat_color_edge_line_grid,raw,338,0.75,0.25,0.7557603686635944,0.7224104831099769,0.7531881017919348
level,stat_color_edge_line_grid_f_classif_k96_svm0.25_xgb0.75,stat_color_edge_line_grid,f_classif_k96,96,0.25,0.75,0.7096774193548387,0.6775821274435135,0.7077407281316576
level,stat_color_edge_line_grid_f_classif_k96_svm0.40_xgb0.60,stat_color_edge_line_grid,f_classif_k96,96,0.4,0.6,0.7235023041474654,0.69524013032933,0.7239660346615451
level,stat_color_edge_line_grid_f_classif_k96_svm0.50_xgb0.50,stat_color_edge_line_grid,f_classif_k96,96,0.5,0.5,0.7096774193548387,0.6780498048202599,0.7107863107391055
level,stat_color_edge_line_grid_f_classif_k96_svm0.60_xgb0.40,stat_color_edge_line_grid,f_classif_k96,96,0.6,0.4,0.695852534562212,0.6657481940144478,0.6979108111835566
level,stat_color_edge_line_grid_f_classif_k96_svm0.75_xgb0.25,stat_color_edge_line_grid,f_classif_k96,96,0.75,0.25,0.6912442396313364,0.6605674904431164,0.694397947965197
level,stat_color_edge_line_grid_f_classif_k128_svm0.25_xgb0.75,stat_color_edge_line_grid,f_classif_k128,128,0.25,0.75,0.7235023041474654,0.6932735333539541,0.7209179529648883
level,stat_color_edge_line_grid_f_classif_k128_svm0.40_xgb0.60,stat_color_edge_line_grid,f_classif_k128,128,0.4,0.6,0.7235023041474654,0.6932659932659933,0.7233254200996138
level,stat_color_edge_line_grid_f_classif_k128_svm0.50_xgb0.50,stat_color_edge_line_grid,f_classif_k128,128,0.5,0.5,0.7235023041474654,0.6984185260631326,0.7240685989530313
level,stat_color_edge_line_grid_f_classif_k128_svm0.60_xgb0.40,stat_color_edge_line_grid,f_classif_k128,128,0.6,0.4,0.7142857142857143,0.6879815876324474,0.7159034923623335
level,stat_color_edge_line_grid_f_classif_k128_svm0.75_xgb0.25,stat_color_edge_line_grid,f_classif_k128,128,0.75,0.25,0.7188940092165899,0.6935254841535998,0.7210856375620149
level,stat_color_edge_line_grid_f_classif_k192_svm0.25_xgb0.75,stat_color_edge_line_grid,f_classif_k192,192,0.25,0.75,0.7327188940092166,0.7007196969696969,0.7282076525624913
level,stat_color_edge_line_grid_f_classif_k192_svm0.40_xgb0.60,stat_color_edge_line_grid,f_classif_k192,192,0.4,0.6,0.7419354838709677,0.708195161588629,0.7376959346910609
level,stat_color_edge_line_grid_f_classif_k192_svm0.50_xgb0.50,stat_color_edge_line_grid,f_classif_k192,192,0.5,0.5,0.7511520737327189,0.711935422940997,0.7462759744930073
level,stat_color_edge_line_grid_f_classif_k192_svm0.60_xgb0.40,stat_color_edge_line_grid,f_classif_k192,192,0.6,0.4,0.7695852534562212,0.7462978081266022,0.7700194703115456
level,stat_color_edge_line_grid_f_classif_k192_svm0.75_xgb0.25,stat_color_edge_line_grid,f_classif_k192,192,0.75,0.25,0.7603686635944701,0.735022510292489,0.7630528510749419
level,stat_color_edge_line_grid_f_classif_k256_svm0.25_xgb0.75,stat_color_edge_line_grid,f_classif_k256,256,0.25,0.75,0.728110599078341,0.6884690925038361,0.7209760957008128
level,stat_color_edge_line_grid_f_classif_k256_svm0.40_xgb0.60,stat_color_edge_line_grid,f_classif_k256,256,0.4,0.6,0.7557603686635944,0.7341722734518963,0.754233327469625
level,stat_color_edge_line_grid_f_classif_k256_svm0.50_xgb0.50,stat_color_edge_line_grid,f_classif_k256,256,0.5,0.5,0.7557603686635944,0.7314259121370066,0.7532810854027197
level,stat_color_edge_line_grid_f_classif_k256_svm0.60_xgb0.40,stat_color_edge_line_grid,f_classif_k256,256,0.6,0.4,0.7557603686635944,0.732023983818298,0.7549643376591415
level,stat_color_edge_line_grid_f_classif_k256_svm0.75_xgb0.25,stat_color_edge_line_grid,f_classif_k256,256,0.75,0.25,0.7511520737327189,0.719403865235213,0.7487694391931609
level,low_dim_all_raw_svm0.25_xgb0.75,low_dim_all,raw,338,0.25,0.75,0.7465437788018433,0.713888832996586,0.7419094229071823
level,low_dim_all_raw_svm0.40_xgb0.60,low_dim_all,raw,338,0.4,0.6,0.7603686635944701,0.7300713281093028,0.7567709713530165
level,low_dim_all_raw_svm0.50_xgb0.50,low_dim_all,raw,338,0.5,0.5,0.7649769585253456,0.7378331218710965,0.7625152260742296
level,low_dim_all_raw_svm0.60_xgb0.40,low_dim_all,raw,338,0.6,0.4,0.7557603686635944,0.7267705463728191,0.7538130043628577
